Crop,FertilizerType,TrialNumber,PlotNumber,PlotID,Yield
Corn,Organic,1,1,COO01,5.50451804
Corn,Organic,2,2,COO02,7.179733545
Corn,Organic,3,3,COO03,3.821368137
Corn,Organic,4,4,COO04,5.089436805
Corn,Organic,5,5,COO05,5.489021517
Corn,Chemical,1,6,COC06,2.086342922
Corn,Chemical,2,7,COC07,3.645726997
Corn,Chemical,3,8,COC08,5.13834775
Corn,Chemical,4,9,COC09,7.535621123
Corn,Chemical,5,10,COC10,3.70222193
Corn,Combination,1,11,COC11,5.447550475
Corn,Combination,2,12,COC12,5.782562777
Corn,Combination,3,13,COC13,5.28374179
Corn,Combination,4,14,COC14,5.328845441
Corn,Combination,5,15,COC15,4.130039193
Tomatoes,Organic,1,1,TOO01,6.213564364
Tomatoes,Organic,2,2,TOO02,6.365765459
Tomatoes,Organic,3,3,TOO03,6.152593719
Tomatoes,Organic,4,4,TOO04,5.411852889
Tomatoes,Organic,5,5,TOO05,6.235550113
Tomatoes,Chemical,1,6,TOC06,3.576072448
Tomatoes,Chemical,2,7,TOC07,2.675792796
Tomatoes,Chemical,3,8,TOC08,2.623229276
Tomatoes,Chemical,4,9,TOC09,6.604900765
Tomatoes,Chemical,5,10,TOC10,3.570734029
Tomatoes,Combination,1,11,TOC11,7.374271438
Tomatoes,Combination,2,12,TOC12,7.953366239
Tomatoes,Combination,3,13,TOC13,8.137578287
Tomatoes,Combination,4,14,TOC14,8.581918812
Tomatoes,Combination,5,15,TOC15,9.316411051
Spinach,Organic,1,1,SPO01,3.071476513
Spinach,Organic,2,2,SPO02,3.05309059
Spinach,Organic,3,3,SPO03,3.541472993
Spinach,Organic,4,4,SPO04,2.864377733
Spinach,Organic,5,5,SPO05,1.770892517
Spinach,Chemical,1,6,SPC06,4.766207283
Spinach,Chemical,2,7,SPC07,5.86683451
Spinach,Chemical,3,8,SPC08,5.120767881
Spinach,Chemical,4,9,SPC09,3.003895218
Spinach,Chemical,5,10,SPC10,4.322458576
Spinach,Combination,1,11,SPC11,8.704462581
Spinach,Combination,2,12,SPC12,7.025657484
Spinach,Combination,3,13,SPC13,6.633151866
Spinach,Combination,4,14,SPC14,5.257850938
Spinach,Combination,5,15,SPC15,5.754373259
Carrots,Organic,1,1,CAO01,3.538831615
Carrots,Organic,2,2,CAO02,3.436437225
Carrots,Organic,3,3,CAO03,3.260766237
Carrots,Organic,4,4,CAO04,5.416087189
Carrots,Organic,5,5,CAO05,2.757523774
Carrots,Chemical,1,6,CAC06,7.971299673
Carrots,Chemical,2,7,CAC07,4.345309661
Carrots,Chemical,3,8,CAC08,7.886004739
Carrots,Chemical,4,9,CAC09,5.665356952
Carrots,Chemical,5,10,CAC10,6.856843939
Carrots,Combination,1,11,CAC11,7.637159173
Carrots,Combination,2,12,CAC12,9.238295998
Carrots,Combination,3,13,CAC13,9.859557655
Carrots,Combination,4,14,CAC14,6.424160011
Carrots,Combination,5,15,CAC15,7.462026641
Green Beans,Organic,1,1,GRO01,4.557594095
Green Beans,Organic,2,2,GRO02,4.93435347
Green Beans,Organic,3,3,GRO03,6.888945348
Green Beans,Organic,4,4,GRO04,4.809796873
Green Beans,Organic,5,5,GRO05,1.356592232
Green Beans,Chemical,1,6,GRC06,4.730823012
Green Beans,Chemical,2,7,GRC07,5.709779711
Green Beans,Chemical,3,8,GRC08,6.297000565
Green Beans,Chemical,4,9,GRC09,4.405094475
Green Beans,Chemical,5,10,GRC10,4.495572007
Green Beans,Combination,1,11,GRC11,6.383703229
Green Beans,Combination,2,12,GRC12,6.224787533
Green Beans,Combination,3,13,GRC13,5.168744583
Green Beans,Combination,4,14,GRC14,5.780606038
Green Beans,Combination,5,15,GRC15,5.261915762
