ExampleNumber,ExampleRow,TrialNumber,Field,Value
One,1,1,Method 1,95.557
One,2,1,Method 2,67.946
One,3,1,Method 3,54.038
One,4,1,Method 4,41.613
One,5,1,Method 5,20.35
One,6,2,Method 1,87.668
One,7,2,Method 2,75.173
One,8,2,Method 3,51.394
One,9,2,Method 4,46.488
One,10,2,Method 5,8.992
One,11,3,Method 1,92.103
One,12,3,Method 2,63.745
One,13,3,Method 3,63.523
One,14,3,Method 4,44.326
One,15,3,Method 5,15.891
One,16,4,Method 1,80.728
One,17,4,Method 2,80.704
One,18,4,Method 3,53.328
One,19,4,Method 4,38.462
One,20,4,Method 5,5.553
One,21,5,Method 1,83.383
One,22,5,Method 2,67.53
One,23,5,Method 3,42.945
One,24,5,Method 4,44.537
One,25,5,Method 5,26.925
One,26,6,Method 1,95.57
One,27,6,Method 2,72.496
One,28,6,Method 3,47.24
One,29,6,Method 4,48.146
One,30,6,Method 5,30.944
One,31,7,Method 1,78.122
One,32,7,Method 2,68.248
One,33,7,Method 3,49.777
One,34,7,Method 4,50.239
One,35,7,Method 5,4.165
One,36,8,Method 1,88.539
One,37,8,Method 2,70.007
One,38,8,Method 3,70.122
One,39,8,Method 4,47.142
One,40,8,Method 5,22.831
One,41,9,Method 1,94.367
One,42,9,Method 2,79.941
One,43,9,Method 3,44.59
One,44,9,Method 4,42.236
One,45,9,Method 5,15.981
One,46,10,Method 1,91.643
One,47,10,Method 2,72.966
One,48,10,Method 3,49.571
One,49,10,Method 4,53.659
One,50,10,Method 5,14.606
