year,season,team,wins,losses,scores,scores_against,score_differential
2023,regular,Chaos,2,1,36,31,5
2023,regular,Archers,2,1,38,35,3
2023,regular,Waterdogs,2,1,36,35,1
2023,regular,Redwoods,2,1,34,39,-5
2023,regular,Whipsnakes,1,2,40,35,5
2023,regular,Atlas,1,2,42,43,-1
2023,regular,Cannons,1,2,40,43,-3
2023,regular,Chrome,1,2,32,37,-5
2023,champ,Atlas,3,0,89,62,27
2023,champ,Archers,2,1,75,76,-1
2023,champ,Chrome,1,2,60,66,-6
2023,champ,Whipsnakes,0,3,53,73,-20
2022,regular,Whipsnakes,9,1,118,98,20
2022,regular,Chrome,7,3,120,102,18
2022,regular,Archers,6,4,130,110,20
2022,regular,Atlas,6,4,128,119,9
2022,regular,Waterdogs,5,5,130,133,-3
2022,regular,Redwoods,4,6,114,124,-10
2022,regular,Chaos,2,8,101,126,-25
2022,regular,Cannons,1,9,111,140,-29
2021,regular,Waterdogs,6,3,111,98,13
2021,regular,Atlas,6,3,120,108,12
2021,regular,Archers,5,4,119,95,24
2021,regular,Redwoods,5,4,110,106,4
2021,regular,Whipsnakes,5,4,102,113,-11
2021,regular,Chaos,4,5,96,105,-9
2021,regular,Cannons,3,6,110,120,-10
2021,regular,Chrome,2,7,92,115,-23
2020,regular,Whipsnakes,6,0,82,51,31
2020,regular,Archers,4,2,64,68,-4
2020,regular,Chrome,3,2,64,64,0
2020,regular,Redwoods,3,3,62,63,-1
2020,regular,Chaos,2,5,70,78,-8
2020,regular,Waterdogs,1,4,47,53,-6
2020,regular,Atlas,1,4,46,58,-12
2019,regular,Chaos,7,3,130,128,2
2019,regular,Whipsnakes,6,4,125,116,9
2019,regular,Archers,5,5,112,106,6
2019,regular,Redwoods,5,5,116,117,-1
2019,regular,Atlas,5,5,125,132,-7
2019,regular,Chrome,2,8,127,137,-10
