team_id,team_name,team_abbr
343,Northeastern Huskies,NEH
140,Texas Rangers,TEX
136,Seattle Mariners,SEA
121,New York Mets,NYM
120,Washington Nationals,WAS
141,Toronto Blue Jays,TOR
142,Minnesota Twins,MIN
139,Tampa Bay Rays,TBR
143,Philadelphia Phillies,PHI
111,Boston Red Sox,BOS
147,New York Yankees,NYY
114,Cleveland Guardians,CLE
109,Arizona Diamondbacks,ARI
137,San Francisco Giants,SFG
118,Kansas City Royals,KCR
135,San Diego Padres,SDP
115,Colorado Rockies,COR
108,Los Angeles Angels,LAA
119,Los Angeles Dodgers,LAD
146,Miami Marlins,MIA
110,Baltimore Orioles,BAL
117,Houston Astros,HOU
144,Atlanta Braves,ATL
138,St. Louis Cardinals,STL
112,Chicago Cubs,CHC
113,Cincinnati Reds,CIN
145,Chicago White Sox,CHW
158,Milwaukee Brewers,MIL
133,Oakland Athletics,OAK
116,Detroit Tigers,DET
5327,West Virginia Mountaineers,WVM
134,Pittsburgh Pirates,PIT
805,Dominican Republic,DOM
784,Canada,CAN
792,Colombia,COL
867,Mexico,MEX
821,Great Britain,GRB
897,Puerto Rico,PUR
944,Venezuela,VEN
881,Nicaragua,NIC
840,Israel,ISR
940,United States,USA
5434,Sugar Land Space Cowboys,SLSC
160,National League All-Stars,NLAS
159,American League All-Stars,ALAS
114,Cleveland Indians,CLI
4284,Southeastern Fire,SEF
4864,Minnesota Golden Gophers,MGG
2578,Canada Jr. Team,CANJ
139,Tampa Bay Devil Rays,TBR
2292,South Florida Bulls,SFB
366,Detroit Tigers Futures,DETF
534,Rochester Red Wings,RRW
120,Montreal Expos,
146,Florida Marlins,
108,Anaheim Angels,
230,Manatee C.C. Lancers,
228,Florida Southern Mocs,
226,Georgia Bulldogs,
232,Arizona Wildcats,
229,St. Leo's Lions,
231,Tampa Spartans,
227,Boston College Eagles,
236,Miami Hurricanes,
100,Georgia Tech Yellow Jackets,
245,Texas Longhorns,
244,Eckerd Tritons,
279,Palm Beach Cardinals,
235,Memphis Redbirds,
339,Florida Atlantic Owls,
386,New York Yankees Futures,
1190,Kia Tigers,
841,Italy,
890,Panama,
918,South Africa,
878,Kingdom of the Netherlands,
760,Australia,
843,Japan,
1171,Korea,
552,Syracuse SkyChiefs,
101,Florida State Seminoles,
2290,Michigan Wolverines,
2291,Saint Louis Billikens,
2330,Georgetown Hoyas,
867,???,
562,Sultanes de Monterrey,
249,Carolina Mudcats,
363,Cincinnati Reds Futures,
784,???,
4104,Coastal Carolina Chanticleers,
141,???,
532,Diablos Rojos del Mexico,
230,"State College of Florida, Manatee-Sarasota",
569,Tigres de Quintana Roo,
383,Atlanta Braves Futures,
536,Rojos del Aguila de Veracruz,
2578,???,
5036,Wisconsin-Milwaukee Panthers,
4468,Florida International Panthers,
509,Fort Myers Miracle,
378,Tampa Bay Rays Futures,
430,Mississippi Braves,
920,Spain,
376,San Francisco Giants Futures,
5035,Arizona State Sun Devils,
105,Sacramento River Cats,
382,Philadelphia Phillies Futures,
416,Louisville Bats,
5310,Grand Canyon Antelopes,
400,Las Vegas 51s,
103,Lake Elsinore Storm,
4744,Army Black Knights,
370,Washington Nationals Prospects,
241,Tokyo Yomiuri Giants,
2671,Hokkaido Nippon Ham Fighters,
556,Nashville Sounds,
342,Albuquerque Isotopes,
541,Omaha Storm Chasers,
237,Midland RockHounds,
234,Durham Bulls,
233,Charleston RiverDogs,
238,Oklahoma RedHawks,
243,Stars of the Future,
259,Fresno Grizzlies,
246,El Paso Diablos,
248,Portland Beavers,
247,Birmingham Barons,
260,Tulsa Drillers,
341,Hanshin Tigers,
529,Tacoma Rainiers,
102,Round Rock Express,
551,Colorado Springs Sky Sox,
115,???,
2293,Virginia Tech Hokies,
440,Springfield Cardinals,
540,Frisco RoughRiders,
1410,Lehigh Valley IronPigs,
482,Corpus Christi Hooks,
510,San Antonio Missions,
3944,CPBL All-Stars,
2510,???,
526,Rancho Cucamonga Quakes,
588,New Orleans Zephyrs,
494,Charlotte Knights,
564,Jacksonville Suns,
477,Greensboro Grasshoppers,
421,Montgomery Biscuits,
568,Norfolk Tides,
238,Oklahoma City RedHawks,
580,Winston-Salem Dash,
445,Columbus Clippers,
2916,Kiwoom Heroes,
512,Toledo Mud Hens,
452,Altoona Curve,
4124,Pensacola Blue Wahoos,
798,Cuba,
561,Salt Lake Bees,
4904,El Paso Chihuahuas,
5015,Biloxi Shuckers,
1350,Northwest Arkansas Naturals,
2913,LG Twins,
